"","FISCAL_YEAR","FACTOR_TYPE","FACTOR_VALUE","TOTAL_DISTINCT_OBSERVER_DEPLOYED_DAYS","TOTAL_VESSEL_PLANT_DEPLOYED_DAYS","TOTAL_VESSEL_PLANT_ASSIGNMENTS","TOTAL_CRUISES","TOTAL_OBSERVERS"
"1",2017,"COVERAGE_TYPE","FULL",37548,37612,955,684,338
"2",2017,"COVERAGE_TYPE","PARTIAL",3900,3920,669,141,70
"3",2017,"GEAR_TYPE"," ",2201,2201,49,46,43
"4",2017,"GEAR_TYPE","HAL",9813,9818,452,275,163
"5",2017,"GEAR_TYPE","NPT",14178,14183,437,365,244
"6",2017,"GEAR_TYPE","POT",1055,1058,128,75,61
"7",2017,"GEAR_TYPE","PTR",14283,14313,621,406,282
"8",2017,"MANAGEMENT_PROGRAM_CODE","A80",9586,9586,252,238,167
"9",2017,"MANAGEMENT_PROGRAM_CODE","AFA",14437,14460,400,327,234
"10",2017,"MANAGEMENT_PROGRAM_CODE","CDQ",3948,3948,214,206,160
"11",2017,"MANAGEMENT_PROGRAM_CODE","IFQ",1771,1775,252,97,60
"12",2017,"MANAGEMENT_PROGRAM_CODE","OA",13437,13456,758,423,260
"13",2017,"MANAGEMENT_PROGRAM_CODE","RPP",799,800,55,41,35
"14",2017,"NMFS_REGION","BSAI",35697,35758,991,698,364
"15",2017,"NMFS_REGION","GOA",5761,5778,694,232,153
"16",2017,"VESSEL_TYPE","CP/MS",26335,26352,605,519,276
"17",2017,"VESSEL_TYPE","CV",12943,12979,970,381,244
"18",2017,"VESSEL_TYPE","PLANT",2201,2201,49,46,43
"19",2018,"COVERAGE_TYPE","FULL",37710,37802,1053,690,354
"20",2018,"COVERAGE_TYPE","PARTIAL",3617,3635,635,134,64
"21",2018,"GEAR_TYPE"," ",2417,2417,78,76,70
"22",2018,"GEAR_TYPE","HAL",8231,8239,434,253,151
"23",2018,"GEAR_TYPE","NPT",14594,14603,478,407,288
"24",2018,"GEAR_TYPE","POT",1152,1152,106,81,64
"25",2018,"GEAR_TYPE","PTR",15058,15085,678,440,305
"26",2018,"MANAGEMENT_PROGRAM_CODE","A80",9985,9988,253,241,180
"27",2018,"MANAGEMENT_PROGRAM_CODE","AFA",15318,15335,462,363,264
"28",2018,"MANAGEMENT_PROGRAM_CODE","CDQ",4316,4317,235,229,178
"29",2018,"MANAGEMENT_PROGRAM_CODE","IFQ",2024,2029,283,104,65
"30",2018,"MANAGEMENT_PROGRAM_CODE","OA",11292,11307,697,418,273
"31",2018,"MANAGEMENT_PROGRAM_CODE","RPP",1066,1078,109,72,63
"32",2018,"NMFS_REGION","BSAI",36286,36363,1047,706,387
"33",2018,"NMFS_REGION","GOA",5058,5087,694,239,155
"34",2018,"VESSEL_TYPE","CP/MS",25437,25453,580,507,289
"35",2018,"VESSEL_TYPE","CV",13520,13567,1031,423,275
"36",2018,"VESSEL_TYPE","PLANT",2417,2417,78,76,70
"37",2019,"COVERAGE_TYPE","FULL",35940,36004,993,686,344
"38",2019,"COVERAGE_TYPE","PARTIAL",3849,3867,660,141,69
"39",2019,"GEAR_TYPE"," ",2377,2377,67,65,61
"40",2019,"GEAR_TYPE","HAL",7138,7143,402,219,139
"41",2019,"GEAR_TYPE","NPT",14803,14813,524,424,280
"42",2019,"GEAR_TYPE","POT",837,838,101,70,55
"43",2019,"GEAR_TYPE","PTR",14738,14770,644,426,304
"44",2019,"MANAGEMENT_PROGRAM_CODE","A80",10441,10443,278,263,187
"45",2019,"MANAGEMENT_PROGRAM_CODE","AFA",15326,15350,455,356,258
"46",2019,"MANAGEMENT_PROGRAM_CODE","CDQ",4003,4003,233,226,176
"47",2019,"MANAGEMENT_PROGRAM_CODE","IFQ",2002,2005,277,99,61
"48",2019,"MANAGEMENT_PROGRAM_CODE","OA",10119,10133,653,378,251
"49",2019,"MANAGEMENT_PROGRAM_CODE","RPP",961,968,80,58,51
"50",2019,"NMFS_REGION","BSAI",34916,34976,1045,715,376
"51",2019,"NMFS_REGION","GOA",4882,4903,654,218,139
"52",2019,"VESSEL_TYPE","CP/MS",24056,24070,578,513,283
"53",2019,"VESSEL_TYPE","CV",13387,13424,1008,411,272
"54",2019,"VESSEL_TYPE","PLANT",2377,2377,67,65,61
"55",2020,"COVERAGE_TYPE","FULL",37957,38000,824,652,339
"56",2020,"COVERAGE_TYPE","PARTIAL",1826,1867,293,109,59
"57",2020,"GEAR_TYPE"," ",4990,5029,92,87,75
"58",2020,"GEAR_TYPE","HAL",5139,5140,200,149,102
"59",2020,"GEAR_TYPE","NPT",13806,13809,377,333,232
"60",2020,"GEAR_TYPE","POT",772,773,69,59,48
"61",2020,"GEAR_TYPE","PTR",15203,15216,457,355,252
"62",2020,"MANAGEMENT_PROGRAM_CODE","A80",9872,9872,211,206,156
"63",2020,"MANAGEMENT_PROGRAM_CODE","AFA",17977,17995,387,335,235
"64",2020,"MANAGEMENT_PROGRAM_CODE","CDQ",4072,4072,209,200,148
"65",2020,"MANAGEMENT_PROGRAM_CODE","IFQ",1031,1031,130,73,54
"66",2020,"MANAGEMENT_PROGRAM_CODE","OA",8776,8822,447,328,225
"67",2020,"MANAGEMENT_PROGRAM_CODE","RPP",1026,1028,69,56,49
"68",2020,"NMFS_REGION","BSAI",35878,35918,807,649,348
"69",2020,"NMFS_REGION","GOA",3908,3950,361,193,135
"70",2020,"VESSEL_TYPE","CP/MS",23437,23443,475,437,235
"71",2020,"VESSEL_TYPE","CV",11376,11395,549,298,211
"72",2020,"VESSEL_TYPE","PLANT",4990,5029,92,87,75
"73",2021,"COVERAGE_TYPE","FULL",34613,34824,794,599,361
"74",2021,"COVERAGE_TYPE","PARTIAL",2678,2771,349,101,64
"75",2021,"GEAR_TYPE"," ",6462,6719,154,143,119
"76",2021,"GEAR_TYPE","HAL",5110,5113,250,146,111
"77",2021,"GEAR_TYPE","NPT",12871,12873,344,294,234
"78",2021,"GEAR_TYPE","POT",1201,1202,116,77,60
"79",2021,"GEAR_TYPE","PTR",11811,11822,376,293,231
"80",2021,"MANAGEMENT_PROGRAM_CODE","A80",9498,9498,196,191,158
"81",2021,"MANAGEMENT_PROGRAM_CODE","AFA",14643,14653,357,314,229
"82",2021,"MANAGEMENT_PROGRAM_CODE","CDQ",3258,3258,180,179,149
"83",2021,"MANAGEMENT_PROGRAM_CODE","IFQ",1861,1864,235,92,64
"84",2021,"MANAGEMENT_PROGRAM_CODE","OA",9018,9279,386,294,224
"85",2021,"MANAGEMENT_PROGRAM_CODE","RPP",1138,1142,89,67,64
"86",2021,"NMFS_REGION","BSAI",31891,31923,723,567,350
"87",2021,"NMFS_REGION","GOA",5407,5675,479,212,157
"88",2021,"VESSEL_TYPE","CP/MS",22431,22437,430,389,255
"89",2021,"VESSEL_TYPE","CV",8421,8439,556,250,197
"90",2021,"VESSEL_TYPE","PLANT",6462,6719,154,143,119
"91",2022,"COVERAGE_TYPE","FULL",28454,28870,756,547,311
"92",2022,"COVERAGE_TYPE","PARTIAL",3411,3419,513,120,70
"93",2022,"GEAR_TYPE"," ",4453,4826,146,128,115
"94",2022,"GEAR_TYPE","HAL",5391,5392,296,169,126
"95",2022,"GEAR_TYPE","NPT",12737,12743,423,349,242
"96",2022,"GEAR_TYPE","POT",1962,1963,206,116,83
"97",2022,"GEAR_TYPE","PTR",7538,7541,294,212,166
"98",2022,"MANAGEMENT_PROGRAM_CODE","A80",9414,9415,250,232,167
"99",2022,"MANAGEMENT_PROGRAM_CODE","AFA",9414,9429,260,220,170
"100",2022,"MANAGEMENT_PROGRAM_CODE","CDQ",2965,2965,183,174,144
"101",2022,"MANAGEMENT_PROGRAM_CODE","IFQ",2428,2433,328,109,78
"102",2022,"MANAGEMENT_PROGRAM_CODE","OA",8402,8779,490,325,238
"103",2022,"MANAGEMENT_PROGRAM_CODE","RPP",1086,1087,67,57,54
"104",2022,"NMFS_REGION","BSAI",26169,26207,740,545,322
"105",2022,"NMFS_REGION","GOA",5702,6085,589,224,169
"106",2022,"VESSEL_TYPE","CP/MS",20538,20544,470,402,242
"107",2022,"VESSEL_TYPE","CV",6907,6919,653,218,156
"108",2022,"VESSEL_TYPE","PLANT",4453,4826,146,128,115
